,id,timestamp,benchmark,kind,domain,dwarf,preset,mode,framework,version,details,validated,time
0,1,1734471019,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numpy,1.26.4,default,1,0.00012510409578680992
1,2,1734471019,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numpy,1.26.4,default,1,0.00010699289850890636
2,3,1734471019,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numpy,1.26.4,default,1,0.00010279403068125248
3,4,1734471019,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numpy,1.26.4,default,1,0.00010188296437263489
4,5,1734471019,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numpy,1.26.4,default,1,0.00010250299237668514
5,6,1734471019,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numpy,1.26.4,default,1,0.000212476821616292
6,7,1734471019,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numpy,1.26.4,default,1,0.00010896404273808002
7,8,1734471019,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numpy,1.26.4,default,1,0.00010622409172356129
8,9,1734471019,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numpy,1.26.4,default,1,0.00010520312935113907
9,10,1734471019,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numpy,1.26.4,default,1,0.00010677403770387173
10,11,1734471029,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numba,0.60.0,nopython-mode,1,5.1211100071668625e-05
11,12,1734471029,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numba,0.60.0,nopython-mode,1,3.772089257836342e-05
12,13,1734471029,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numba,0.60.0,nopython-mode,1,3.682216629385948e-05
13,14,1734471029,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numba,0.60.0,nopython-mode,1,3.716093488037586e-05
14,15,1734471029,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numba,0.60.0,nopython-mode,1,3.610108979046345e-05
15,16,1734471029,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numba,0.60.0,nopython-mode,1,3.643101081252098e-05
16,17,1734471029,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numba,0.60.0,nopython-mode,1,3.555114381015301e-05
17,18,1734471029,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numba,0.60.0,nopython-mode,1,3.6071985960006714e-05
18,19,1734471029,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numba,0.60.0,nopython-mode,1,3.6730896681547165e-05
19,20,1734471029,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numba,0.60.0,nopython-mode,1,3.583100624382496e-05
20,21,1734471029,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numba,0.60.0,nopython-mode-parallel,1,0.00024126796051859856
21,22,1734471029,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numba,0.60.0,nopython-mode-parallel,1,0.0002141171135008335
22,23,1734471029,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numba,0.60.0,nopython-mode-parallel,1,0.0002005270216614008
23,24,1734471029,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numba,0.60.0,nopython-mode-parallel,1,0.00018077599816024303
24,25,1734471029,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numba,0.60.0,nopython-mode-parallel,1,0.00017188582569360733
25,26,1734471029,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numba,0.60.0,nopython-mode-parallel,1,0.00017050490714609623
26,27,1734471029,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numba,0.60.0,nopython-mode-parallel,1,0.00017144600860774517
27,28,1734471029,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numba,0.60.0,nopython-mode-parallel,1,0.0001813359558582306
28,29,1734471029,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numba,0.60.0,nopython-mode-parallel,1,0.00017111492343246937
29,30,1734471029,gemver,microbench,LinAlg,dense_linear_algebra,100,main,numba,0.60.0,nopython-mode-parallel,1,0.00017169606871902943
30,31,1734471039,gemver,microbench,LinAlg,dense_linear_algebra,100,main,dace_cpu,1.0.0,fusion,1,0.000334650045260787
31,32,1734471039,gemver,microbench,LinAlg,dense_linear_algebra,100,main,dace_cpu,1.0.0,fusion,1,0.00030061998404562473
32,33,1734471039,gemver,microbench,LinAlg,dense_linear_algebra,100,main,dace_cpu,1.0.0,fusion,1,0.0002988399937748909
